哀	āi
近況	jìnkuàng
*近期	jìnqī
近親	jìnqīn
近視	jìn·shì
勁歌	jìnggē
晉級	jìnjí
*浸泡	jìnpào
浸透	jìntòu
*進出	jìnchū
*進出口	jìnchūkŏu
*進度	jìndù
進發	jìnfā
進貢	jìngòng
進口商	jìnkŏushāng
進食	jìnshí
進行曲	jìnxíngqŭ
進賬	jìnzhàng
進駐	jìnzhù
禁	jìn
禁忌	jìnjì
禁令	jìnlìng
禁煙	jìnyān
禁運	jìnyùn
*盡情	jìnqíng
盡善盡美	jìnshànjìnmĕi
盡收眼底	jìnshōuyǎndǐ
盡頭	jìntóu
盡現	jìnxiàn
盡力	jìnlì
盡興	jìnxìng
盡責	jìnzé
盡職	jìnzhí
盡忠	jìnzhōng
京城	jīngchéng
京師	jīngshī
荊	jīng
荊棘	jīngjí
*晶片	jīngpiàn
晶瑩	jīngyíng
睛	jīng
*精彩	jīngcǎi
精粹	jīngcuì
精打細算	jīngdǎxìsuàn
精讀	jīngdú
精煉	jīngliàn
精良	jīngliáng
*精美	jīngmĕi
精妙	jīngmiào
*精明	jīngmíng
精疲力竭	jīngpílìjié
精闢	jīngpì
*精品	jīngpǐn
精巧	jīngqiǎo
精銳	jīngruì
精神病	jīngshénbìng
精髓	jīngsuǐ
*精選	jīngxuǎn
精要	jīngyào
精益求精	jīngyìqiújīng
*精英	jīngyīng
*精湛	jīngzhàn
精忠	jīngzhōng
精裝	jīngzhuāng
經不起	jīng·bùqǐ
經得起	jīng·déqǐ
*經紀	jīngjì
經濟學	jīngjìxué
*經貿	jīngmào
經年累月	jīngniánlĕiyuè
經銷	jīngxiāo
經銷商	jīngxiāoshāng
經文	jīngwén
*經由	jīngyóu
驚愕	jīng'è
驚呼	jīnghū
驚惶	jīnghuáng
驚覺	jīngjué
驚嘆	jīngtàn
驚險	jīngxiǎn
驚心動魄	jīngxīndòngpò
井井有條	jǐngjǐngyŏutiáo
*景點	jǐngdiǎn
*景觀	jǐngguān
景況	jǐngkuàng
*景致	jǐngzhì
警	jǐng
警報	jǐngbào
警車	jǐngchē
警方	jǐngfāng
警號	jǐnghào
*警覺	jǐngjué
警示	jǐngshì
*警署	jǐngshŭ
警訊	jǐngxùn
警鐘	jǐngzhōng
勁敵	jìngdí
勁旅	jìnglǚ
痙攣	jìngluán
淨額	jìng'é
淨化器	jìnghuàqì
*淨值	jìngzhí
靜電	jìngdiàn
靜悄悄	jìngqiāoqiāo
靜態	jìngtài
靜坐	jìngzuò
敬佩	jìngpèi
敬畏	jìngwèi
敬仰	jìngyǎng
敬業	jìngyè
敬意	jìngyì
敬重	jìngzhòng
靚	jìng
鏡片	jìngpiàn
競	jìng
競技	jìngjì
*競爭力	jìngzhēnglì
競逐	jìngzhú
迥然	jiŏngrán
窘	jiŏng
糾	jiū
糾察	jiūchá
糾纏	jiūchán
久違	jiŭwéi
灸	jiŭ
韭菜	jiŭcài
*酒吧	jiŭbā
酒杯	jiŭbēi
*酒店	jiŭdiàn
酒館	jiŭguǎn
酒家	jiŭjiā
*酒樓	jiŭlóu
酒瓶	jiŭpíng
酒窩	jiŭwō
救護	jiùhù
救護車	jiùhùchē
救命	jiùmìng
救生員	jiùshēngyuán
救贖	jiùshú
救亡	jiùwáng
*救援	jiùyuán
救治	jiùzhì
*就此	jiùcǐ
就地	jiùdì
*就讀	jiùdú
就範	jiùfàn
就教	jiùjiào
就寢	jiùqǐn
就緒	jiùxù
就學	jiùxué
就醫	jiùyī
就診	jiùzhĕn
舅父	jiùfù
舅媽	jiùmā
舊日	jiùrì
舊時	jiùshí
居安思危	jū'ānsīwēi
居高臨下	jūgāolínxià
居留	jūliú
*居留權	jūliúquán
*居士	jūshì
*居所	jūsuŏ
居屋	jūwū
拘	jū
*拘捕	jūbŭ
拘謹	jūjǐn
拘泥	jūnì
狙擊	jūjī
鞠躬	jūgōng
桔	jú
焗	jú
跼促	júcù
菊	jú
沮喪	jŭsàng
矩	jŭ
*舉報	jŭbào
舉措	jŭcuò
舉家	jŭjiā
*舉例	jŭlì
舉世	jŭshì
舉手	jŭshŏu
舉手之勞	jŭshŏuzhīláo
舉一反三	jŭyīfǎnsān
舉債	jŭzhài
*舉證	jŭzhèng
舉止	jŭzhǐ
*舉足輕重	jŭzúqīngzhòng
巨變	jùbiàn
巨匠	jùjiàng
巨款	jùkuǎn
巨浪	jùlàng
巨人	jùrén
巨頭	jùtóu
巨響	jùxiǎng
*巨星	jùxīng
*巨型	jùxíng
巨著	jùzhù
拒	jù
鉅資	jùzī
句法	jùfǎ
句號	jùhào
句式	jùshì
俱備	jùbèi
俱全	jùquán
颶風	jùfēng
聚合	jùhé
*聚會	jùhuì
聚焦	jùjiāo
聚精會神	jùjīnghuìshén
*聚居	jùjū
聚散	jùsàn
劇評	jùpíng
*劇情	jùqíng
劇壇	jùtán
*劇院	jùyuàn
劇增	jùzēng
劇照	jùzhào
劇作	jùzuò
據理力爭	jùlǐlìzhēng
*據悉	jùxī
踞	jù
鋸	jù
鋸齒	jùchǐ
懼	jù
懼怕	jùpà
*捐款	juānkuǎn
捐錢	juānqián
*捐贈	juānzèng
捐助	juānzhù
娟秀	juānxiù
捲縮	juǎnsuō
捲曲	juǎnqū
捲土重來	juǎntŭchónglái
卷軸	juànzhóu
倦	juàn
眷顧	juàngù
眷戀	juànliàn
雋永	juànyŏng
角力	juélì
角逐	juézhú
決鬥	juédòu
決斷	juéduàn
決裂	juéliè
*決賽	juésài
決意	juéyì
*抉擇	juézé
訣	jué
訣別	juébié
倔強	juéjiàng
掘	jué
崛起	juéqǐ
厥	jué
絕活	juéhuó
絕技	juéjì
絕跡	juéjì
絕口	juékŏu
絕路	juélù
絕倫	juélún
絕情	juéqíng
絕色	juésè
絕食	juéshí
絕世	juéshì
絕無僅有	juéwújǐnyŏu
絕招	juézhāo
絕症	juézhèng
絕種	juézhŏng
爵	jué
*爵士	juéshì
爵士樂	juéshìyuè
倔	juè
君臨	jūnlín
君子	jūnzǐ
軍方	jūnfāng
軍費	jūnfèi
軍器	jūnqì
軍團	jūntuán
軍械	jūnxiè
軍營	jūnyíng
鈞	jūn
峻	jùn
峻峭	jùnqiào
*竣工	jùngōng
駿馬	jùnmǎ
咖啡因	kāfēiyīn
*卡路里	kǎlùlǐ
*卡通	kǎtōng
卡通片	kǎtōngpiàn
揩	kāi
揩油	kāiyóu
開場	kāichǎng
開場白	kāichǎngbái
開端	kāiduān
開發商	kāifāshāng
開懷	kāihuái
開解	kāijiĕ
開掘	kāijué
開朗	kāilǎng
開鑼	kāiluó
開盤	kāipán
開啟	kāiqǐ
開腔	kāiqiāng
開槍	kāiqiāng
開竅	kāiqiào
開賽	kāisài
開審	kāishĕn
開首	kāishŏu
開庭	kāitíng
開通	kāitōng
開銷	kāi·xiāo
*開心	kāixīn
開心果	kāixīnguŏ
開演	kāiyǎn
*開業	kāiyè
開鑿	kāizáo
開張	kāizhāng
開徵	kāizhēng
開宗明義	kāizōngmíngyì
楷模	kǎimó
慨嘆	kǎitàn
刊	kān
刊發	kānfā
刊行	kānxíng
刊載	kānzǎi
看管	kānguǎn
看護	kānhù
看守	kānshŏu
勘測	kāncè
勘查	kānchá
勘察	kānchá
堪	kān
坎	kǎn
坎坷	kǎnkĕ
砍柴	kǎnchái
砍伐	kǎnfá
看病	kànbìng
看穿	kànchuān
看顧	kàngù
*看好	kànhǎo
看客	kànkè
看破	kànpò
看齊	kànqí
看台	kàntái
看中	kànzhòng
看準	kànzhŭn
康	kāng
*康復	kāngfù
*康樂	kānglè
康泰	kāngtài
亢奮	kàngfèn
*抗辯	kàngbiàn
抗衡	kànghéng
*抗拒	kàngjù
抗菌	kàngjūn
抗生素	kàngshēngsù
抗體	kàngtǐ
抗藥性	kàngyàoxìng
抗爭	kàngzhēng
考場	kǎochǎng
考古學	kǎogŭxué
考績	kǎojì
考究	kǎo·jiu
考據	kǎojù
考卷	kǎojuàn
考評	kǎopíng
考勤	kǎoqín
*考生	kǎoshēng
考證	kǎozhèng
拷貝	kǎobèi
烤	kǎo
烤爐	kǎolú
烤肉	kǎoròu
苛刻	kēkè
柯	kē
科幻	kēhuàn
科舉	kējŭ
*科目	kēmù
科學館	kēxuéguǎn
瞌睡	kēshuì
可悲	kĕbēi
可否	kĕfŏu
*可觀	kĕguān
*可口	kĕkŏu
可樂	kĕlè
可親	kĕqīn
可人	kĕrén
可信	kĕxìn
*可行	kĕxíng
*可疑	kĕyí
渴	kĕ
渴求	kĕqiú
克制	kèzhì
剋星	kèxīng
刻板	kèbǎn
刻不容緩	kèbùrónghuǎn
刻骨銘心	kègŭmíngxīn
*刻意	kèyì
客船	kèchuán
客串	kèchuàn
*客戶	kèhù
*客機	kèjī
客輪	kèlún
客源	kèyuán
*客運	kèyùn
客棧	kèzhàn
恪守	kèshŏu
*課室	kèshì
*課稅	kèshuì
課外	kèwài
*課餘	kèyú
墾	kĕn
坑人	kēngrén
鏗鏘	kēngqiāng
空蕩蕩	kōngdàngdàng
空泛	kōngfàn
空姐	kōngjiĕ
空曠	kōngkuàng
*空調	kōngtiáo
空頭	kōngtóu
空郵	kōngyóu
*空運	kōngyùn
孔教	Kŏngjiào
孔廟	Kŏngmiào
恐	kŏng
恐嚇	kŏnghè
恐龍	kŏnglóng
空地	kòngdì
*空缺	kòngquē
空位	kòngwèi
空閒	kòngxián
控	kòng
控告	kònggào
*控股	kònggŭ
摳	kōu
摳字眼兒	kōuzìyǎnr
*口岸	kŏu'àn
口碑	kŏubēi
口風琴	kŏufēngqín
口福	kŏufú
口腹	kŏufù
*口感	kŏugǎn
口供	kŏugòng
口紅	kŏuhóng
口角	kŏujiǎo
口訣	kŏujué
口渴	kŏukĕ
口琴	kŏuqín
口哨	kŏushào
口述	kŏushù
口水	kŏushuǐ
*口味	kŏuwèi
口吻	kŏuwĕn
口香糖	kŏuxiāngtáng
口型	kŏuxíng
口音	kŏuyīn
*口罩	kŏuzhào
口誅筆伐	kŏuzhūbǐfá
*扣除	kòuchú
扣留	kòuliú
扣人心弦	kòurénxīnxián
*扣押	kòuyā
叩	kòu
叩頭	kòutóu
枯	kū
枯黃	kūhuáng
枯枝	kūzhī
哭泣	kūqì
哭訴	kūsù
哭笑不得	kūxiàobùdé
窟	kū
苦不堪言	kŭbùkānyán
苦楚	kŭchŭ
苦功	kŭgōng
苦瓜	kŭguā
苦練	kŭliàn
苦戀	kŭliàn
苦悶	kŭmèn
苦命	kŭmìng
苦澀	kŭsè
苦痛	kŭtòng
苦味	kŭwèi
苦笑	kŭxiào
苦戰	kŭzhàn
苦衷	kŭzhōng
酷	kù
酷愛	kù'ài
酷熱	kùrè
酷暑	kùshŭ
酷刑	kùxíng
褲	kù
褲襠	kùdāng
褲管	kùguǎn
誇	kuā
誇大	kuādà
誇耀	kuāyào
誇讚	kuāzàn
垮臺	kuǎtái
跨過	kuàguò
*跨越	kuàyuè
快餐	kuàicān
快遞	kuàidì
*快捷	kuàijié
快門	kuàimén
快艇	kuàitǐng
快意	kuàiyì
*會計師	kuàijìshī
膾炙人口	kuàizhìrénkŏu
寬度	kuāndù
*寬頻	kuānpín
寬容	kuānróng
寬恕	kuānshù
*寬鬆	kuānsōng
寬限	kuānxiàn
寬裕	kuānyù
*款額	kuǎn'é
*款式	kuǎnshì
*款項	kuǎnxiàng
誆人	kuāngrén
狂暴	kuángbào
狂放	kuángfàng
狂歡	kuánghuān
狂亂	kuángluàn
狂犬病	kuángquǎnbìng
狂熱	kuángrè
狂妄	kuángwàng
狂想	kuángxiǎng
狂野	kuángyĕ
況	kuàng
框	kuàng
*框架	kuàngjià
眶	kuàng
曠	kuàng
曠世	kuàngshì
曠野	kuàngyĕ
礦場	kuàngchǎng
礦工	kuànggōng
礦泉水	kuàngquánshuǐ
*礦物質	kuàngwùzhì
窺	kuī
窺看	kuīkàn
窺視	kuīshì
窺探	kuītàn
虧本	kuībĕn
虧欠	kuīqiàn
愧	kuì
匱乏	kuìfá
潰	kuì
潰瘍	kuìyáng
饋贈	kuìzèng
坤	kūn
困頓	kùndùn
困惑	kùnhuò
困窘	kùnjiŏng
*困擾	kùnrǎo
睏倦	kùnjuàn
括	kuò
廓	kuò
闊別	kuòbié
闊綽	kuòchuò
擴	kuò
*擴充	kuòchōng
*擴建	kuòjiàn
擴音器	kuòyīnqì
拉扯	lā·che
拉丁舞	lādīngwŭ
拉麵	lāmiàn
垃圾	lājī
垃圾桶	lājītŏng
喇嘛	lǎ·ma
辣	là
辣椒	làjiāo
辣醬	làjiàng
臘	là
臘腸	làcháng
臘味	làwèi
蠟像	làxiàng
來函	láihán
來龍去脈	láilóngqùmài
來勢	láishì
賴以	làiyǐ
藍本	lánbĕn
藍籌股	lánchóugŭ
*藍圖	lántú
籃	lán
籃板	lánbǎn
籃球	lánqiú
攔	lán
攔截	lánjié
懶	lǎn
懶得	lǎn·dé
懶散	lǎnsǎn
懶洋洋	lǎnyāngyāng
覽	lǎn
攬	lǎn
纜	lǎn
*纜車	lǎnchē
濫	làn
*濫用	lànyòng
狼吞虎咽	lángtūnhŭyān
郎	láng
廊	láng
*朗誦	lǎngsòng
*浪漫	làngmàn
浪子	làngzǐ
牢籠	láolóng
勞累	láolèi
*勞工	láogōng
勞駕	láojià
勞苦	láokŭ
勞碌	láolù
勞損	láosŭn
勞心	láoxīn
*勞資	láozī
嘮叨	láo·dao
老闆娘	lǎobǎnniáng
老成	lǎochéng
老婦	lǎofù
老將	lǎojiàng
老年人	lǎoniánrén
老牌	lǎopái
老少	lǎoshào
老少咸宜	lǎoshàoxiányí
老式	lǎoshì
老頭兒	lǎotóur
姥姥	lǎo·lao
姥爺	lǎo·ye
烙	lào
烙印	làoyìn
勒	lè
勒令	lèlìng
勒索	lèsuŏ
樂此不疲	lècǐbùpí
樂而忘返	lè'érwàngfǎn
*樂趣	lèqù
樂善好施	lèshànhàoshī
樂陶陶	lètáotáo
樂天	lètiān
*樂意	lèyì
*樂園	lèyuán
勒	lēi
累贅	léi·zhui
雷暴	léibào
雷動	léidòng
雷霆萬鈞	léitíngwànjūn
雷同	léitóng
擂	léi
鐳	léi
鐳射	léishè
磊落	lĕiluò
壘	lĕi
壘球	lĕiqiú
纍積	lĕijī
肋	lèi
肋骨	lèigŭ
淚光	lèiguāng
淚如雨下	lèirúyŭxià
淚眼	lèiyǎn
淚珠	lèizhū
擂	lèi
類別	lèibié
棱	léng
棱角	léngjiǎo
冷不防	lĕng·bufáng
*冷藏	lĕngcáng
冷凍	lĕngdòng
冷酷	lĕngkù
冷落	lĕngluò
冷門	lĕngmén
冷漠	lĕngmò
冷凝	lĕngníng
冷盤	lĕngpán
冷氣	lĕngqì
冷清	lĕng·qīng
冷戰	lĕngzhàn
*厘米	límǐ
梨花	líhuā
蒞臨	lìlín
黎民	límín
*黎明	límíng
罹患	líhuàn
離愁	líchóu
離譜	lípŭ
離奇	líqí
離棄	líqì
離任	lírèn
離散	lísàn
離世	líshì
離職	lízhí
李子	lǐ·zi
*里程	lǐchéng
里程碑	lǐchéngbēi
*理財	lǐcái
*理科	lǐkē
*理念	lǐniàn
理事	lǐ·shì
理所當然	lǐsuŏdāngrán
鯉	lǐ
*鯉魚	lǐyú
禮服	lǐfú
禮器	lǐqì
禮券	lǐquàn
禮讓	lǐràng
禮堂	lǐtáng
禮儀	lǐyí
禮遇	lǐyù
禮制	lǐzhì
力不從心	lìbùcóngxīn
力挫	lìcuò
*力度	lìdù
力爭	lìzhēng
*立法會	lìfǎhuì
立交	lìjiāo
立時	lìshí
立約	lìyuē
立志	lìzhì
立足	lìzú
吏	lì
利弊	lìbì
利落	lì·luo
利器	lìqì
例規	lìguī
例會	lìhuì
例行	lìxíng
例證	lìzhèng
*荔枝	lìzhī
曆法	lìfǎ
*歷程	lìchéng
歷屆	lìjiè
歷經	lìjīng
歷久不衰	lìjiŭbùshuāi
歷練	lìliàn
歷任	lìrèn
歷時	lìshí
歷史性	lìshǐxìng
歷險	lìxiǎn
勵志	lìzhì
隸	lì
隸書	lìshū
*隸屬	lìshŭ
連串	liánchuàn
連帶	liándài
連貫	liánguàn
連環	liánhuán
連環畫	liánhuánhuà
連襟	liánjīn
連累	lián·lĕi
連袂	liánmèi
連鎖	liánsuŏ
連夜	liányè
蓮	lián
蓮花	liánhuā
漣漪	liányī
廉	lián
*廉署	liánshŭ
*聯賽	liánsài
*聯手	liánshŏu
*聯網	liánwǎng
聯校	liánxiào
聯誼	liányì
聯運	liányùn
斂	liǎn
臉蛋	liǎndàn
臉頰	liǎnjiá
臉孔	liǎnkŏng
臉龐	liǎnpáng
臉譜	liǎnpŭ
煉油	liànyóu
練功	liàngōng
*殮房	liànfáng
戀	liàn
戀情	liànqíng
戀人	liànrén
*良機	liángjī
良性	liángxìng
良莠不齊	liángyŏubùqí
良知	liángzhī
涼茶	liángchá
涼粉	liángfĕn
涼快	liáng·kuai
涼爽	liángshuǎng
涼亭	liángtíng
涼鞋	liángxié
*量度	liángdù
糧草	liángcǎo
兩面	liǎngmiàn
兩訖	liǎngqì
亮麗	liànglì
亮相	liàngxiàng
量化	liànghuà
量入為出	liàngrùwéichū
量刑	liàngxíng
晾	liàng
晾曬	liàngshài
踉蹌	liàngqiàng
聊	liáo
聊天兒	liáotiānr
寥寥可數	liáoliáokĕshŭ
寥落	liáoluò
嘹亮	liáoliàng
寮屋	liáowū
潦倒	liáodǎo
遼	liáo
療	liáo
療程	liáochéng
療法	liáofǎ
療傷	liáoshāng
療養	liáoyǎng
療養院	liáoyǎngyuàn
繚繞	liáorào
了結	liǎojié
了事	liǎoshì
瞭若指掌	liǎoruòzhǐzhǎng
料到	liàodào
*料理	liàolǐ
料想	liàoxiǎng
劣	liè
劣質	lièzhì
列表	lièbiǎo
列強	lièqiáng
列印	lièyìn
烈	liè
烈日	lièrì
烈焰	lièyàn
裂縫	lièfèng
裂痕	lièhén
獵殺	lièshā
獵物	lièwù
林地	líndì
*林立	línlì
淋漓	línlí
淋漓盡致	línlíjìnzhì
淋浴	línyù
琳瑯滿目	línlángmǎnmù
嶙峋	línxún
遴選	línxuǎn
鄰舍	línshè
鱗	lín
臨別	línbié
臨場	línchǎng
臨摹	línmó
臨時工	línshígōng
臨危不亂	línwēibùluàn
臨終	línzhōng
凜冽	lǐnliè
凜然	lǐnrán
吝嗇	lìnsè
伶	líng
伶仃	língdīng
伶人	língrén
伶牙俐齒	língyálìchǐ
羚羊	língyáng
*聆聽	língtīng
聆訊	língxùn
鈴聲	língshēng
凌	líng
*凌晨	língchén
凌駕	língjià
凌空	língkōng
凌厲	línglì
凌亂	língluàn
陵	líng
陵墓	língmù
陵園	língyuán
零點	língdiǎn
零度	língdù
零賣	língmài
零散	língsǎn
零食	lingshí
零下	língxià
零用錢	língyòngqián
靈光	língguāng
靈機	língjī
靈氣	língqì
靈位	língwèi
靈性	língxìng
靈驗	lingyàn
靈芝	língzhī
領帶	lǐngdài
*領隊	lǐngduì
領航	lǐngháng
領教	lǐngjiào
領軍	lǐngjūn
*領略	lǐnglüè
*領取	lǐngqŭ
領事館	lǐngshìguǎn
領悟	lǐngwù
*領先	lǐngxiān
領養	lǐngyǎng
另闢蹊徑	lìngbìxījìng
溜冰	liūbīng
流產	liúchǎn
流暢	liúchàng
*流程	liúchéng
流放	liúfàng
*流感	liúgǎn
*流浪	liúlàng
流浪漢	liúlànghàn
流淚	liúlèi
流離失所	liúlíshīsuŏ
流連	liúlián
*流量	liúliàng
流落	liúluò
*流失	liúshī
流逝	liúshì
流水賬	liúshuǐzhàng
流淌	liútǎng
流亡	liúwáng
流星	liúxīng
流星雨	liúxīngyŭ
流行病	liúxíngbìng
流質	liúzhì
流轉	liúzhuǎn
留存	liúcún
留待	liúdài
留話	liúhuà
留難	liúnàn
留任	liúrèn
留守	liúshŏu
留宿	liúsù
留心	liúxīn
留言	liúyán
*留意	liúyì
榴槤	liúlián
瀏覽	liúlǎn
六合彩	liùhécǎi
龍鳳	lóngfèng
龍井	lóngjǐng
龍捲風	lóngjuǎnfēng
*龍門	lóngmén
*龍頭	lóngtóu
*龍蝦	lóngxiā
*龍舟	lóngzhōu
聾	lóng
壟	lŏng
隴	Lŏng
樓花	lóuhuā
*樓市	lóushì
陋	lòu
陋室	lòushì
陋習	lòuxí
漏洞	lòudòng
漏水	lòushuǐ
*蘆筍	lúsŭn
爐火	lúhuŏ
魯莽	lŭmǎng
虜	lŭ
*陸路	lùlù
鹿茸	lùróng
路標	lùbiāo
路燈	lùdēng
*路段	lùduàn
*路軌	lùguǐ
路徑	lùjìng
*路面	lùmiàn
路牌	lùpái
路人	lùrén
路途	lùtú
錄音	lùyīn
錄音帶	lùyīndài
錄製	lùzhì
戮力	lùlì
露骨	lùgŭ
露水	lù·shuǐ
露宿	lùsù
*露台	lùtái
*露天	lùtiān
露營	lùyíng
*旅程	lǚchéng
旅社	lǚshè
旅舍	lǚshè
*旅行社	lǚxíngshè
*旅行團	lǚxíngtuán
旅遊車	lǚyóuchē
旅遊局	lǚyóujú
履	lǚ
履歷	lǚlì
履約	lǚyuē
*律政司	lǜzhèngsī
慮	lǜ
綠燈	lǜdēng
綠豆	lǜdòu
綠葉	lǜyè
綠油油	lǜyōuyōu
綠洲	lǜzhōu
孿	luán
孿生	luánshēng
亂倫	luànlún
亂七八糟	luànqībāzāo
掠	lüè
掠影	lüèyǐng
略勝一籌	lüèshèngyīchóu
淪落	lúnluò
淪陷	lúnxiàn
輪班	lúnbān
輪胎	lúntāi
*輪椅	lúnyǐ
論辯	lùnbiàn
論據	lùnjù
論說	lùnshuō
*論壇	lùntán
論題	lùntí
螺	luó
螺絲	luósī
蘿蔔	luó·bo
蘿蔔糕	luó·bogāo
鑼	luó
鑼鼓	luógŭ
裸	luŏ
落筆	luòbǐ
*落成	luòchéng
落地生根	luòdìshēnggēn
落腳	luòjiǎo
落空	luòkōng
落淚	luòlèi
*落馬	luòmǎ
落寞	luòmò
落葉	luòyè
絡繹	luòyì
麻辣	málà
麻將	májiàng
麻疹	mázhĕn
麻醉藥	mázuìyào
馬不停蹄	mǎbùtíngtí
*馬場	mǎchǎng
*馬拉松	mǎlāsōng
馬匹	mǎpǐ
馬術	mǎshù
馬桶	mǎtŏng
埋藏	máicáng
埋伏	mái·fú
埋葬	máizàng
買菜	mǎicài
買家	mǎijiā
脈絡	màiluò
脈象	màixiàng
麥芽糖	màiyátáng
*賣點	màidiǎn
賣關子	màiguān·zi
賣家	màijiā
賣力	màilì
賣弄	mài·nong
*賣相	màixiàng
賣座	màizuò
邁步	màibù
邁進	màijìn
鰻	mán
鰻魚	mányú
滿分	mǎnfēn
滿目	mǎnmù
滿天	mǎntiān
滿載	mǎnzài
滿座	mǎnzuò
慢吞吞	màntūntūn
慢悠悠	mànyōuyōu
漫	màn
漫不經心	mànbùjīngxīn
*漫步	mànbù
*漫畫	mànhuà
漫天	màntiān
漫遊	mànyóu
芒果	mángguŏ
盲	máng
盲點	mángdiǎn
莽撞	mǎngzhuàng
*貓頭鷹	māotóuyīng
毛筆	máobǐ
毛豆	máodòu
毛髮	máofà
毛猴	máohóu
毛孔	máokŏng
毛利	máolì
毛毛雨	máo·maoyŭ
毛皮	máopí
矛	máo
矛頭	máotóu
錨	máo
冒充	màochōng
冒犯	màofàn
冒牌貨	màopáihuò
冒失	mào·shi
貿然	màorán
貌	mào
沒關係	méiguān·xi
沒好氣	méihǎoqì
沒趣	méiqù
沒完沒了	méiwánméiliǎo
沒準兒	méizhŭnr
*玫瑰	méi·gui
眉目	méimù
眉梢	méishāo
眉宇	méiyŭ
梅	méi
梅開二度	méikāi'èrdù
梅子	méi·zi
霉	méi
媒	méi
*媒體	méitǐ
煤礦	méikuàng
煤油	méiyóu
*每逢	mĕiféng
美不勝收	mĕibùshèngshōu
美稱	mĕichēng
*美景	mĕijǐng
美酒	mĕijiŭ
美侖美奐	mĕilúnmĕihuàn
美貌	mĕimào
美夢	mĕimèng
美女	mĕinǚ
美人	mĕirén
*美容	mĕiróng
*美食	mĕishí
美食家	mĕishíjiā
美態	mĕitài
*美味	mĕiwèi
美艷	mĕiyàn
*美譽	mĕiyù
昧	mèi
魅	mèi
魅惑	mèihuò
媚	mèi
悶熱	mēnrè
門第	méndì
門戶	ménhù
門禁	ménjìn
*門檻	ménkǎn
門框	ménkuàng
門鈴	ménlíng
門路	mén·lu
門楣	ménméi
門牌	ménpái
*門票	ménpiào
門人	ménrén
門市	ménshì
門徒	méntú
*門診	ménzhĕn
悶氣	mènqì
蒙騙	mēngpiàn
萌	méng
萌生	méngshēng
盟	méng
盟軍	méngjūn
蒙蔽	méngbì
*蒙受	méngshòu
蒙羞	méngxiū
朦朧	ménglóng
猛力	mĕnglì
猛然	mĕngrán
*夢幻	mènghuàn
夢境	mèngjìng
夢寐以求	mèngmèiyǐqiú
夢鄉	mèngxiāng
*夢想	mèngxiǎng
夢魘	mèngyǎn
夢遊	mèngyóu
夢囈	mèngyì
迷宮	mígōng
迷糊	mí·hu
迷離	mílí
迷戀	míliàn
迷路	mílù
迷亂	míluàn
迷茫	mímáng
迷你	mínǐ
迷你裙	mínǐqún
迷惘	míwǎng
謎底	mídǐ
*謎語	míyŭ
彌	mí
彌撒	mí·sa
米醋	mǐcù
*米飯	mǐfàn
米糠	mǐkāng
米線	mǐxiàn
秘	mì
秘方	mìfāng
秘笈	mìjí
秘訣	mìjué
密不可分	mìbùkĕfēn
密佈	mìbù
*密封	mìfēng
*密碼	mìmǎ
蜜桃	mìtáo
蜜月	mìyuè
蜜棗	mìzǎo
覓	mì
覓食	mìshí
眠	mián
棉襖	mián'ǎo
棉被	miánbèi
棉絮	miánxù
綿	mián
綿延	miányán
免不了	miǎn·buliǎo
免得	miǎn·dé
*免費	miǎnfèi
*免稅	miǎnshuì
免疫力	miǎnyìlì
免職	miǎnzhí
勉	miǎn
緬懷	miǎnhuái
靦腆	miǎn·tiǎn
面額	miàn'é
面頰	miànjiá
面具	miànjù
面膜	miànmó
面色	miànsè
面紗	miànshā
面世	miànshì
面試	miànshì
面談	miàntán
面相	miànxiàng
面罩	miànzhào
*面值	miànzhí
*麵包	miànbāo
*麵粉	miànfĕn
苗條	miáo·tiao
描	miáo
瞄	miáo
渺	miǎo
渺茫	miǎománg
藐視	miǎoshì
妙齡	miàolíng
妙趣	miàoqù
妙趣橫生	miàoqùhéngshēng
妙語	miàoyŭ
*廟宇	miàoyŭ
滅火	mièhuŏ
滅絕	mièjué
民調	míndiào
*民航	mínháng
民居	mínjū
*民生	mínshēng
民望	mínwàng
民心	mínxīn
民謠	mínyáo
民營	mínyíng
民宅	mínzhái
民政	mínzhèng
皿	mǐn
泯滅	mǐnmiè
名不虛傳	míngbùxūchuán
*名冊	míngcè
名城	míngchéng
名存實亡	míngcúnshíwáng
*名單	míngdān
*名額	míng'é
名分	míngfèn
名副其實	míngfùqíshí
名號	mínghào
名家	míngjiā
名利	mínglì
名列前茅	mínglièqiánmáo
名流	míngliú
名牌	míngpái
名片	míngpiàn
名氣	míngqì
*名人	míngrén
名山	míngshān
名勝	míngshèng
名師	míngshī
名堂	míng·tang
名校	míngxiào
名媛	míngyuán
名正言順	míngzhèngyánshùn
名著	míngzhù
銘	míng
銘文	míngwén
*明快	míngkuài
*明朗	mínglǎng
明麗	mínglì
明瞭	míngliǎo
明媚	míngmèi
明滅	míngmiè
*明日	míngrì
明文	míngwén
*明星	míngxīng
明月	míngyuè
明證	míngzhèng
明知故犯	míngzhīgùfàn
明智	míngzhì
冥想	míngxiǎng
命案	mìng'àn
命脈	mìngmài
命中	mìngzhòng
命中率	mìngzhònglǜ
摹	mó
摹仿	mófǎng
膜拜	móbài
磨擦	mócā
磨練	móliàn
磨滅	mómiè
磨難	mónàn
磨損	mósŭn
