哀	āi
籌措	chóucuò
*籌劃	chóuhuà
籌集	chóují
籌款	chóukuǎn
籌碼	chóumǎ
籌募	chóumù
籌資	chóuzī
醜八怪	chŏubāguài
醜陋	chŏulòu
醜聞	chŏuwén
臭蟲	chòuchóng
臭烘烘	chòuhōnghōng
臭氧	chòuyǎng
*出版社	chūbǎnshè
出醜	chūchŏu
出處	chūchù
*出錯	chūcuò
出道	chūdào
出軌	chūguǐ
出航	chūháng
*出擊	chūjī
出嫁	chūjià
*出口商	chūkŏushāng
出類拔萃	chūlèibácuì
出籠	chūlóng
出爐	chūlú
出毛病	chūmáo·bìng
出沒	chūmò
出謀獻策	chūmóuxiàncè
*出品	chūpǐn
出其不意	chūqíbùyì
出奇	chūqí
出勤	chūqín
出人意料	chūrényìliào
*出任	chūrèn
*出入	chūrù
*出入境	chūrùjìng
*出入口	chūrùkŏu
出賽	chūsài
出神	chūshén
出神入化	chūshénrùhuà
出生地	chūshēngdì
出生率	chūshēnglǜ
出使	chūshǐ
*出示	chūshì
*出世	chūshì
*出台	chūtái
出庭	chūtíng
*出頭	chūtóu
出外	chūwài
出線	chūxiàn
出行	chūxíng
出巡	chūxún
出征	chūzhēng
出資	chūzī
*出租	chūzū
初版	chūbǎn
初春	chūchūn
初冬	chūdōng
初戀	chūliàn
初秋	chūqiū
初賽	chūsài
初夏	chūxià
初夜	chūyè
*除外	chúwài
除夕	chúxī
廚	chú
廚具	chújù
*廚師	chúshī
廚藝	chúyì
櫥	chú
櫥窗	chúchuāng
雛	chú
雛形	chúxíng
儲	chŭ
儲藏	chŭcáng
處變不驚	chŭbiànbùjīng
*處方	chŭfāng
*處理器	chŭlǐqì
處世	chŭshì
處心積慮	chŭxīnjīlǜ
*處置	chŭzhì
*處所	chùsuŏ
觸電	chùdiàn
觸動	chùdòng
觸發	chùfā
*觸犯	chùfàn
觸及	chùjí
*觸覺	chùjué
*觸摸	chùmō
觸目驚心	chùmùjīngxīn
矗立	chùlì
揣	chuāi
揣測	chuǎicè
揣摩	chuǎimó
川流不息	chuānliúbùxī
穿插	chuānchā
穿戴	chuāndài
*穿梭	chuānsuō
穿行	chuānxíng
穿針引線	chuānzhēnyǐnxiàn
船廠	chuánchǎng
船塢	chuánwù
船員	chuányuán
傳承	chuánchéng
傳道	chuándào
傳教	chuánjiào
*傳媒	chuánméi
*傳票	chuánpiào
*傳奇	chuánqí
傳球	chuánqiú
*傳染	chuánrǎn
傳熱	chuánrè
傳神	chuánshén
傳輸	chuánshū
*傳送	chuánsòng
傳頌	chuánsòng
傳聞	chuánwén
傳銷	chuánxiāo
*傳訊	chuánxùn
傳言	chuányán
傳揚	chuányáng
傳譯	chuányì
傳閱	chuányuè
*傳真	chuánzhēn
喘氣	chuǎnqì
喘息	chuǎnxī
窗花	chuānghuā
窗框	chuāngkuàng
瘡	chuāng
瘡痍	chuāngyí
床單	chuángdān
床頭	chuángtóu
闖蕩	chuǎngdàng
創刊	chuàngkān
*創建	chuàngjiàn
創舉	chuàngjŭ
創設	chuàngshè
創始	chuàngshǐ
創校	chuàngxiào
*創業	chuàngyè
*創意	chuàngyì
創制	chuàngzhì
吹拂	chuīfú
吹噓	chuīxū
吹奏	chuīzòu
炊具	chuījù
垂釣	chuídiào
垂老	chuílǎo
垂淚	chuílèi
垂青	chuíqīng
垂死	chuísǐ
垂涎	chuíxián
垂涎欲滴	chuíxiányùdī
春暉	chūnhuī
春卷	chūnjuǎn
春聯	chūnlián
春夢	chūnmèng
春日	chūnrì
春色	chūnsè
春雨	chūnyŭ
純淨	chúnjìng
*純利	chúnlì
純樸	chúnpŭ
純情	chúnqíng
純熟	chúnshú
純真	chúnzhēn
純正	chúnzhèng
淳厚	chúnhòu
淳樸	chúnpŭ
醇	chún
蠢	chŭn
蠢蠢欲動	chŭnchŭnyùdòng
戳	chuō
戳破	chuōpò
綽綽有餘	chuòchuòyŏuyú
綽號	chuòhào
輟學	chuòxué
祠	cí
*祠堂	cítáng
詞人	círén
*詞彙	cíhuì
瓷	cí
瓷瓶	cípíng
瓷器	cíqì
慈	cí
慈悲	cíbēi
慈母	címŭ
*慈善	císhàn
磁片	cípiàn
磁器	cíqì
磁性	cíxìng
雌性	cíxìng
辭呈	cíchéng
辭藻	cízǎo
此起彼伏	cǐqǐbǐfú
次貨	cìhuò
次品	cìpǐn
刺耳	cì'ĕr
刺骨	cìgŭ
刺殺	cìshā
刺眼	cìyǎn
匆忙	cōngmáng
蔥	cōng
聰慧	cōnghuì
聰穎	cōngyǐng
從教	cóngjiào
從容	cóngróng
從善如流	cóngshànrúliú
從商	cóngshāng
從速	cóngsù
從天而降	cóngtiān'érjiàng
*從未	cóngwèi
*從業	cóngyè
從政	cóngzhèng
叢林	cónglín
叢生	cóngshēng
湊合	còu·he
